Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 10: empty recycle bin:create project 1,50,6919,553,44016,11484.47,8.00%,1.1,1.03,946.4
Workflow 10: empty recycle bin:add item project 1,50,3183,251,41287,6067.52,10.00%,1.0,1.06,1103.9
Workflow 10: empty recycle bin:create project 2,50,2477,253,42641,6197.28,2.00%,1.0,0.73,762.7
Workflow 10: empty recycle bin:add item project 2,50,1820,252,10451,2093.24,2.00%,1.0,0.86,896.4
Workflow 10: empty recycle bin:create project 3,50,2272,302,21876,4264.10,0.00%,1.0,0.69,715.0
Workflow 10: empty recycle bin:move project 3 to project 2,50,1465,257,11133,1887.09,2.00%,1.0,0.76,776.8
Workflow 10: empty recycle bin:add item project 3,50,897,246,2712,683.18,0.00%,1.0,0.82,840.0
Workflow 10: empty recycle bin:create sub item,250,1010,241,21109,1713.99,0.00%,4.6,3.78,843.0
Workflow 10: empty recycle bin:Get all projects,50,8192,1297,14691,4473.73,0.00%,1.0,80.78,82211.2
Workflow 10: empty recycle bin:delete project,10103,392,229,14484,450.93,0.00%,30.3,21.15,715.7
Workflow 10: empty recycle bin:empty recycle bin,50,398,230,892,154.43,0.00%,.7,0.22,314.0
TOTAL,10803,517,229,44016,1411.72,0.11%,30.1,32.30,1098.7
