Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 1,50,7194,545,42510,11618.45,8.00%,1.2,1.07,946.4
add item project 1,50,3716,281,45727,7638.35,10.00%,1.0,1.03,1103.9
create project 2,50,3437,299,42704,6921.49,2.00%,1.0,0.72,762.7
add item project 2,50,1573,273,10799,2234.89,2.00%,1.0,0.86,896.4
create project 3,50,2104,242,22083,3392.02,0.00%,1.0,0.68,715.0
move project 3 to project 2,50,1387,245,10666,1858.82,2.00%,1.0,0.75,776.8
add item project 3,50,1240,252,12582,1858.91,0.00%,1.0,0.84,840.0
create sub item,250,1407,245,24149,2810.92,0.00%,4.7,3.85,843.0
Get all projects,50,6301,1323,15066,3455.37,0.00%,1.1,90.04,81862.5
delete project,10060,414,229,318551,3182.31,0.01%,16.9,11.83,715.9
empty recycle bin,50,431,228,997,193.25,0.00%,.2,0.05,314.0
TOTAL,10760,547,228,318551,3381.93,0.12%,17.2,18.45,1098.8
