Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 1,50,5993,469,43313,10168.31,6.00%,1.1,1.00,907.0
add item project 1,50,3901,299,44521,6750.18,8.00%,1.0,1.02,1091.7
create project 2,50,2394,294,41857,5897.45,2.00%,.9,0.71,761.2
add item project 2,50,1521,274,10609,2021.00,2.00%,1.0,0.89,943.4
create project 3,50,1666,262,22366,3170.14,0.00%,1.0,0.67,715.0
move project 3 to project 2,50,2250,257,11765,3005.66,2.00%,1.0,0.75,776.8
add item project 3,50,1532,265,11030,2274.05,0.00%,1.0,0.87,888.0
Get Tasks Today,50,3522,779,27083,5059.61,0.00%,1.0,42.26,42677.2
delete item Today,3783,481,230,21876,745.92,0.00%,18.2,15.40,867.4
TOTAL,4183,707,230,44521,2007.61,0.24%,18.6,24.87,1367.3
