Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 4: create task:create project 1,10,593,484,958,176.83,0.00%,5.4,4.20,790.0
Workflow 4: create task:set icon project 1,10,256,233,342,31.93,0.00%,6.4,4.49,717.0
Workflow 4: create task:add item project 1,10,485,466,504,12.19,0.00%,5.6,4.57,840.0
Workflow 4: create task:create project 2,10,260,254,268,4.48,0.00%,6.3,4.40,717.0
Workflow 4: create task:move project 2 to project 1,10,469,456,486,9.54,0.00%,5.6,3.92,720.0
Workflow 4: create task:create task,10,243,239,252,4.25,0.00%,6.4,5.51,888.0
Workflow 4: create task:set task,10,470,459,494,9.42,0.00%,5.6,4.80,883.0
TOTAL,70,397,233,958,147.10,0.00%,7.0,5.43,793.6
