Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 4: create task:create project 1,10,589,484,801,115.68,0.00%,7.0,5.41,790.0
Workflow 4: create task:set icon project 1,10,239,234,253,5.37,0.00%,11.6,8.12,717.0
Workflow 4: create task:add item project 1,10,496,461,544,20.87,0.00%,8.9,7.27,840.0
Workflow 4: create task:create project 2,10,271,253,298,13.36,0.00%,10.7,7.52,717.0
Workflow 4: create task:move project 2 to project 1,10,476,458,489,9.32,0.00%,8.6,6.07,720.0
Workflow 4: create task:create task,10,244,239,256,5.24,0.00%,10.6,9.18,887.7
Workflow 4: create task:set task,10,477,461,505,11.53,0.00%,8.6,7.39,882.7
TOTAL,70,399,234,801,140.29,0.00%,7.3,5.64,793.5
