Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 1: create projects:create project 1,50,1196,576,5582,998.31,0.00%,8.2,6.31,789.0
Workflow 1: create projects:set icon project 1,50,3936,550,18742,5501.74,0.00%,2.5,1.78,716.0
Workflow 1: create projects:add item project 1,50,4364,550,11774,4289.47,0.00%,1.7,1.42,840.0
Workflow 1: create projects:create project 2,50,3806,591,7814,2168.49,0.00%,1.7,1.21,716.1
Workflow 1: create projects:add item project 2,50,3839,567,11190,2735.42,0.00%,1.7,1.42,840.0
Workflow 1: create projects:create project 3,50,9276,578,322303,44912.32,2.00%,.1,0.10,734.8
Workflow 1: create projects:move project 3 to project 2,50,1542,454,21003,3023.36,10.00%,.1,0.12,802.7
Workflow 1: create projects:set icon project 3,50,7663,456,314261,43822.64,10.00%,.1,0.12,813.7
Workflow 1: create projects:add item project 3,50,1060,476,9562,1391.03,8.00%,.1,0.15,1065.6
TOTAL,450,4076,454,322303,21277.06,3.33%,1.2,0.96,813.1
