Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 1,50,2619,526,21846,4477.50,0.00%,2.2,1.71,789.0
set icon project 1,50,1935,513,10752,2479.93,0.00%,2.2,1.56,716.0
add item project 1,50,1758,523,6559,1647.78,0.00%,2.2,1.76,840.0
create project 2,50,2491,531,21898,4464.98,0.00%,1.7,1.22,716.0
add item project 2,50,2311,528,21009,3722.46,0.00%,1.6,1.29,840.0
create project 3,50,1290,491,5295,1088.35,0.00%,1.6,1.10,715.0
move project 3 to project 2,50,2066,475,21128,3657.77,0.00%,1.6,1.11,718.0
set icon project 3,50,1438,471,11081,2215.23,0.00%,1.6,1.11,718.0
add item project 3,50,1374,468,9557,1757.52,0.00%,1.6,1.31,840.0
TOTAL,450,1920,468,21898,3112.85,0.00%,8.4,6.31,765.8
