Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 8: delete check all tasks on project:create project 2,10,492,478,518,13.41,0.00%,7.2,5.56,791.0
Workflow 8: delete check all tasks on project:create project 3,10,256,253,266,3.47,0.00%,8.9,6.20,716.0
Workflow 8: delete check all tasks on project:move project 3 to project 2,10,476,455,498,13.93,0.00%,7.6,5.31,719.0
Workflow 8: delete check all tasks on project:create main item,10,246,240,254,4.57,0.00%,9.2,7.96,888.0
Workflow 8: delete check all tasks on project:create sub item,50,385,238,505,114.83,0.00%,7.4,6.13,843.0
Workflow 8: delete check all tasks on project:get project tasks,10,258,249,266,4.55,0.00%,9.6,31.49,3369.3
Workflow 8: delete check all tasks on project:check task,54,362,235,600,120.86,0.00%,6.8,5.80,876.1
Workflow 8: delete check all tasks on project:get project done items,10,478,456,496,11.82,0.00%,1.2,3.04,2686.4
Workflow 8: delete check all tasks on project:Delete project done items,10,239,230,249,5.86,0.00%,1.2,0.36,312.0
TOTAL,174,363,230,600,117.89,0.00%,7.1,7.39,1059.1
