Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 5: set sub task:create project 1,50,1578,486,10791,2305.53,0.00%,4.4,3.41,789.0
Workflow 5: set sub task:set icon project 1,50,2401,536,24573,3921.83,0.00%,2.0,1.40,716.0
Workflow 5: set sub task:add item project 1,50,1659,548,10746,2128.74,0.00%,2.0,1.66,840.0
Workflow 5: set sub task:create project 2,50,2619,578,21000,3731.61,2.00%,1.1,0.81,745.8
Workflow 5: set sub task:move project 2 to project 1,50,1968,515,22173,3521.44,2.00%,1.1,0.81,732.7
Workflow 5: set sub task:create main item,50,1472,459,7006,1358.02,2.00%,1.1,1.04,943.4
Workflow 5: set sub task:create sub item,250,1370,460,12008,1761.23,2.00%,4.7,4.09,899.3
Workflow 5: set sub task:get project tasks,50,1989,468,6325,1727.58,2.00%,1.2,3.83,3304.1
Workflow 5: set sub task:set sub task,260,1246,454,6145,1567.87,0.38%,6.4,5.31,849.7
TOTAL,860,1571,454,24573,2256.30,1.16%,11.5,11.12,987.6
