Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 5: set sub task:create project 1,50,2375,597,22970,4872.79,0.00%,2.1,1.63,789.0
Workflow 5: set sub task:set icon project 1,50,3854,545,17078,5404.96,0.00%,2.0,1.43,716.0
Workflow 5: set sub task:add item project 1,50,3202,558,11684,3458.58,0.00%,2.0,1.63,840.0
Workflow 5: set sub task:create project 2,50,3697,569,13479,2651.34,0.00%,2.0,1.39,709.0
Workflow 5: set sub task:move project 2 to project 1,50,4024,570,21487,3484.07,2.00%,1.4,1.02,732.8
Workflow 5: set sub task:create main item,50,2266,506,22157,3537.93,2.00%,1.7,1.60,943.4
Workflow 5: set sub task:create sub item,250,2587,465,315284,19896.42,2.40%,.7,0.66,907.0
Workflow 5: set sub task:get project tasks,50,4480,473,156285,21739.96,4.00%,.2,0.43,2858.6
Workflow 5: set sub task:set sub task,216,796,456,6509,960.79,0.00%,5.4,4.49,851.2
TOTAL,816,2468,456,315284,12561.59,1.23%,2.2,2.12,968.2
