Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 1,50,3736,520,42429,8581.27,4.00%,1.2,0.99,867.7
set icon project 1,50,3274,473,42998,6802.58,6.00%,1.1,0.88,784.4
add item project 1,50,2150,525,11084,2234.51,4.00%,1.1,1.00,952.8
create project 2,50,1330,506,6558,1447.15,0.00%,1.1,0.77,719.0
move project 2 to project 1,50,1537,457,10450,1908.10,4.00%,1.1,0.89,836.6
create main item,50,1743,482,10680,2209.41,0.00%,1.1,0.95,888.0
create sub item,250,3866,467,322756,28701.98,0.80%,.7,0.61,858.3
get project tasks,50,1193,463,5568,1055.92,0.00%,.1,0.42,2898.3
set sub task,230,832,461,12496,1161.28,0.00%,4.0,3.35,850.9
TOTAL,830,2297,457,322756,16076.11,1.33%,2.3,2.16,973.0
