Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 3: create subitmes on item:create project 1,10,510,485,536,13.78,0.00%,7.1,5.49,790.0
Workflow 3: create subitmes on item:set icon project 1,10,238,234,248,4.10,0.00%,8.9,6.26,717.0
Workflow 3: create subitmes on item:add item project 1,10,487,479,501,7.66,0.00%,7.3,6.01,840.0
Workflow 3: create subitmes on item:create project 2,10,423,259,703,172.28,0.00%,8.7,6.10,717.0
Workflow 3: create subitmes on item:move project 2 to project 1,10,633,458,1198,275.59,0.00%,5.1,3.59,720.0
Workflow 3: create subitmes on item:create main item,10,297,238,503,99.09,0.00%,5.1,4.42,888.0
Workflow 3: create subitmes on item:create sub item,50,379,240,530,115.02,0.00%,6.7,5.52,843.0
TOTAL,110,407,234,1198,163.78,0.00%,7.0,5.53,807.9
