Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 3: create subitmes on item:create project 1,10,590,497,850,118.84,0.00%,7.1,5.49,790.0
Workflow 3: create subitmes on item:set icon project 1,10,241,236,251,5.06,0.00%,12.6,8.84,717.0
Workflow 3: create subitmes on item:add item project 1,10,491,480,512,10.23,0.00%,9.5,7.78,840.0
Workflow 3: create subitmes on item:create project 2,10,276,252,301,14.14,0.00%,11.9,8.31,717.0
Workflow 3: create subitmes on item:move project 2 to project 1,10,476,452,510,19.53,0.00%,9.6,6.72,720.0
Workflow 3: create subitmes on item:create main item,10,245,237,255,6.68,0.00%,11.8,10.20,887.8
Workflow 3: create subitmes on item:create sub item,50,386,240,516,114.83,0.00%,7.7,6.30,843.0
TOTAL,110,386,236,850,132.97,0.00%,7.3,5.75,807.9
