Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 5: set sub task:create project 1,10,593,487,785,99.03,0.00%,7.1,5.45,790.0
Workflow 5: set sub task:set icon project 1,10,462,452,474,6.93,0.00%,9.2,6.43,717.0
Workflow 5: set sub task:add item project 1,10,470,460,487,9.02,0.00%,9.1,7.43,840.0
Workflow 5: set sub task:create project 2,10,494,476,508,9.94,0.00%,8.8,6.14,717.0
Workflow 5: set sub task:move project 2 to project 1,10,476,451,514,15.73,0.00%,8.9,6.28,720.0
Workflow 5: set sub task:create main item,10,472,458,490,10.99,0.00%,8.9,7.75,888.0
Workflow 5: set sub task:create sub item,50,486,458,756,56.09,0.00%,4.5,3.73,843.0
Workflow 5: set sub task:get project tasks,10,488,478,503,8.75,0.00%,11.1,39.57,3643.0
Workflow 5: set sub task:set sub task,60,471,455,492,9.92,0.00%,4.5,3.76,851.9
TOTAL,180,484,451,785,47.57,0.00%,4.1,3.96,980.1
