Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 5: set sub task:create project 1,10,501,477,517,11.46,0.00%,7.1,5.47,790.0
Workflow 5: set sub task:set icon project 1,10,470,459,486,8.36,0.00%,7.3,5.08,717.0
Workflow 5: set sub task:add item project 1,10,547,461,1182,212.10,0.00%,6.7,5.51,840.0
Workflow 5: set sub task:create project 2,10,501,482,526,14.84,0.00%,6.6,4.60,717.0
Workflow 5: set sub task:move project 2 to project 1,10,469,454,482,8.58,0.00%,6.7,4.70,720.0
Workflow 5: set sub task:create main item,10,469,461,478,4.93,0.00%,6.8,5.86,887.6
Workflow 5: set sub task:create sub item,50,476,458,494,9.28,0.00%,4.4,3.61,843.0
Workflow 5: set sub task:get project tasks,10,582,473,982,186.52,0.00%,5.1,18.31,3642.6
Workflow 5: set sub task:set sub task,60,470,455,486,8.97,0.00%,4.2,3.50,852.1
TOTAL,180,485,454,1182,73.54,0.00%,4.1,3.91,980.1
