Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 9: pospone task due date:create project 1,50,4677,570,45213,7625.13,2.00%,1.1,0.88,828.3
Workflow 9: pospone task due date:create project 2,50,2810,254,21632,4138.19,0.00%,1.1,0.75,717.5
Workflow 9: pospone task due date:create project 3,50,1987,317,11043,2312.53,0.00%,1.0,0.69,715.0
Workflow 9: pospone task due date:move project 3 to project 2,50,1946,300,11101,2338.74,0.00%,1.0,0.68,718.0
Workflow 9: pospone task due date:add item project 3,50,1349,329,11434,1968.50,0.00%,1.0,0.84,889.0
Workflow 9: pospone task due date:postpone days on due date,50,1019,309,5501,1204.55,0.00%,1.0,0.88,887.0
TOTAL,300,2298,254,45213,4084.35,0.33%,5.1,3.93,792.5
