Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 1,50,6526,549,43320,9051.40,4.00%,1.1,0.97,867.7
create project 2,50,5960,308,44908,10734.28,6.00%,1.1,0.86,841.4
create project 3,50,3625,240,44264,8692.36,4.00%,1.0,0.82,796.6
move project 3 to project 2,50,1693,269,11326,2573.02,10.00%,1.1,0.97,922.0
add item project 3,50,1320,266,10614,1701.89,4.00%,1.1,1.05,999.8
postpone days on due date,50,1377,297,10406,1846.71,4.00%,1.1,1.04,997.9
TOTAL,300,3417,240,44908,7226.64,5.33%,5.4,4.78,904.2
