Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 9: pospone task due date:create project 1,50,5138,572,23924,6023.68,0.00%,2.1,1.60,789.0
Workflow 9: pospone task due date:create project 2,50,2583,417,17850,3330.28,0.00%,1.9,1.28,709.0
Workflow 9: pospone task due date:create project 3,50,2515,341,16436,3186.26,0.00%,1.8,1.23,715.1
Workflow 9: pospone task due date:move project 3 to project 2,50,4090,310,16046,3883.81,2.00%,1.6,1.22,776.9
Workflow 9: pospone task due date:add item project 3,50,3251,336,12684,3169.92,0.00%,1.4,1.23,889.0
Workflow 9: pospone task due date:postpone days on due date,50,3149,320,12632,3038.17,0.00%,1.4,1.23,887.0
TOTAL,300,3454,310,23924,4018.82,0.33%,7.0,5.42,794.3
