Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 1,50,8308,495,44905,12246.04,8.00%,1.1,1.02,946.4
set icon project 1,50,4041,282,42619,9130.74,12.00%,.9,0.78,852.7
add item project 1,50,1290,271,5162,1145.27,8.00%,.9,0.98,1065.6
create project 2,50,2613,259,22248,4740.16,0.00%,.9,0.67,721.9
move project 2 to project 1,50,1722,279,21200,3195.06,8.00%,1.0,0.89,954.3
create task,50,2962,242,44089,7336.92,2.00%,1.0,0.86,925.4
set task,50,1038,244,5419,1004.03,2.00%,1.0,0.85,893.4
TOTAL,350,3139,242,44905,7169.86,5.71%,5.7,5.04,908.5
