Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 1,50,8692,480,44647,12616.25,10.00%,1.1,1.07,985.7
set icon project 1,50,2150,296,22877,3512.53,10.00%,1.1,0.85,784.9
add item project 1,50,2771,242,11053,3400.03,10.00%,1.1,1.20,1122.0
create project 2,50,1447,323,11089,1775.27,0.00%,1.1,0.78,723.4
move project 2 to project 1,50,1552,273,11152,2156.47,10.00%,1.1,1.10,1013.1
create main item,50,2444,277,43253,6266.06,2.00%,1.0,0.93,925.4
create sub item,250,1250,241,12140,1630.24,2.00%,4.7,4.11,899.3
TOTAL,550,2301,241,44647,5146.37,4.73%,8.7,7.76,913.7
