Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 3: create subitmes on item:create project 1,50,5280,539,45277,10519.00,6.00%,1.1,0.97,907.0
Workflow 3: create subitmes on item:set icon project 1,50,4187,259,51335,9467.68,10.00%,1.0,0.79,838.9
Workflow 3: create subitmes on item:add item project 1,50,3337,263,43584,6696.14,8.00%,1.0,1.00,1047.5
Workflow 3: create subitmes on item:create project 2,50,2620,257,22457,3894.33,0.00%,1.0,0.70,720.4
Workflow 3: create subitmes on item:move project 2 to project 1,50,1112,245,5637,1302.26,6.00%,1.0,0.88,895.5
Workflow 3: create subitmes on item:create main item,50,1163,243,11230,1826.33,0.00%,1.0,0.88,888.0
Workflow 3: create subitmes on item:create sub item,250,1100,240,11042,1371.68,0.00%,4.6,3.77,843.0
TOTAL,550,2109,240,51335,5203.58,2.73%,8.4,7.08,864.8
