Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 9: pospone task due date:create project 1,10,510,488,523,10.66,0.00%,7.0,5.39,790.0
Workflow 9: pospone task due date:create project 2,10,268,257,282,7.21,0.00%,8.3,5.84,717.0
Workflow 9: pospone task due date:create project 3,10,501,482,526,15.83,0.00%,7.1,4.96,716.0
Workflow 9: pospone task due date:move project 3 to project 2,10,279,235,621,113.93,0.00%,8.2,5.73,719.0
Workflow 9: pospone task due date:add item project 3,10,551,460,1218,222.79,0.00%,5.1,4.45,889.0
Workflow 9: pospone task due date:postpone days on due date,10,263,236,465,67.32,0.00%,5.1,4.46,887.0
TOTAL,60,395,235,1218,164.88,0.00%,6.7,5.16,786.3
