Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project 2,50,6132,572,43949,9792.33,4.00%,1.1,0.94,868.6
create project 3,50,3018,297,23071,5147.73,0.00%,1.1,0.78,718.0
move project 3 to project 2,50,1550,256,10436,1843.45,4.00%,1.1,0.89,835.7
create main item,50,1879,304,21041,3108.30,0.00%,1.1,0.96,888.0
create sub item,250,1780,255,44012,3879.23,0.40%,4.4,3.65,850.7
get project tasks,50,1208,259,5467,1159.99,0.00%,1.0,2.98,3073.3
check task,243,922,243,12613,1216.49,0.00%,4.8,4.10,875.7
get project done items,50,1075,242,5206,1077.91,0.00%,1.1,2.68,2573.1
Delete project done items,50,1049,241,9581,1924.00,0.00%,1.2,0.36,312.0
TOTAL,843,1738,241,44012,3847.09,0.59%,12.0,12.32,1054.5
