Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 8: delete check all tasks on project:create project 2,50,4474,559,43575,8754.22,4.00%,1.1,0.96,868.6
Workflow 8: delete check all tasks on project:create project 3,50,5167,283,46614,9702.04,4.00%,1.1,0.84,799.6
Workflow 8: delete check all tasks on project:move project 3 to project 2,50,1756,244,10674,1956.13,8.00%,1.0,0.84,863.2
Workflow 8: delete check all tasks on project:create main item,50,1343,262,10774,1821.12,4.00%,1.0,0.97,998.9
Workflow 8: delete check all tasks on project:create sub item,250,1423,241,21202,2394.34,4.00%,4.5,4.23,955.7
Workflow 8: delete check all tasks on project:get project tasks,50,1672,259,9626,1797.81,4.00%,1.1,3.70,3578.1
Workflow 8: delete check all tasks on project:check task,282,1150,239,12484,1774.45,0.00%,5.6,4.77,875.9
Workflow 8: delete check all tasks on project:get project done items,50,1309,238,9489,1662.59,4.00%,1.2,3.35,2888.2
Workflow 8: delete check all tasks on project:Delete project done items,50,1068,233,6130,1459.03,4.00%,1.2,0.52,445.9
TOTAL,882,1723,233,46614,3801.60,2.95%,12.0,13.43,1142.9
